,Unnamed: 0,index,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,User Follower Count,User Following Count,User Likes Count,User Tweets Count,text_clean
81,81,170,1511820891763937281,2022-04-06 21:39:23+00:00,https://twitter.com/CatatanAli07/status/1511820891763937281,"Bismillah

#11AprilJokowiTumbang 🙏

Yang ingin #11AprilJokowiTumbang

RT KERAS!!!!!!",1,1,3,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,bismillah apriljokowitumbang yang ingin apriljokowitumbang keras
82,82,169,1513176978610081798,2022-04-10 15:27:59+00:00,https://twitter.com/CatatanAli07/status/1513176978610081798,"TAGAR

#MahasiswaBergerak 
#MahasiswaBergerak 

Geber lagi yok buat kasih semangat ke adek adek mahasiswa besok....",374,45,148,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,tagar mahasiswabergerak mahasiswabergerak geber lagi buat kasih semangat adek adek mahasiswa besok
83,83,1139,1513177212094390277,2022-04-10 15:28:55+00:00,https://twitter.com/Y0uDie_RsH/status/1513177212094390277,"@CatatanAli07 Tanpa Rem..
#MahasiswaBergerak 
#MahasiswaBergerak",1,0,1,,1.3573467424007864e+18,Y0uDie_RsH,زهربؤن قتا ,3791.0,3534.0,68612.0,51329.0,tanpa mahasiswabergerak mahasiswabergerak
85,85,1137,1513178328651296774,2022-04-10 15:33:21+00:00,https://twitter.com/NurAzam_noer80/status/1513178328651296774,"@CatatanAli07 Gass poll
#MahasiswaBergerak 
#MahasiswaBergerak",0,0,0,,1.415842812935893e+18,NurAzam_noer80,,443.0,720.0,27383.0,726.0,gass poll mahasiswabergerak mahasiswabergerak
87,87,1135,1513183368191815681,2022-04-10 15:53:23+00:00,https://twitter.com/TheEagle_BEN/status/1513183368191815681,@CatatanAli07 BAYARLAH BIAR NAGAR EIKE☺,0,1,0,,1.2445258847756534e+18,TheEagle_BEN,,8503.0,104.0,45177.0,27414.0,bayarlah biar nagar
89,89,168,1513184274668609537,2022-04-10 15:56:59+00:00,https://twitter.com/CatatanAli07/status/1513184274668609537,"Pakai POCARI SWEET untuk penghilang rasa pedih gas air mata...

Caranya dibuat raup atau cuci muka...

#MahasiswaBergerak",2227,32,672,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,pakai pocari sweet untuk penghilang rasa pedih mata caranya dibuat raup atau cuci muka mahasiswabergerak
94,94,1129,1513192514211430400,2022-04-10 16:29:43+00:00,https://twitter.com/HudLatif/status/1513192514211430400,"@CatatanAli07 Ayo
#MahasiswaBergerak 
#MahasiswaBergerak 
#RakyatBersamaMahasiswa",0,0,0,,1.2091372338374492e+18,HudLatif,"Magelang Selatan, Indonesia",89.0,234.0,1141.0,6420.0,mahasiswabergerak mahasiswabergerak rakyatbersamamahasiswa
95,95,1128,1513200736535924744,2022-04-10 17:02:24+00:00,https://twitter.com/Acp_L10NK/status/1513200736535924744,"@CatatanAli07 Lawan Penjahat Konstitusi !

#MahasiswaBergerak 
#MahasiswaBergerak 
#MahasiswaBergerak",0,0,0,,1433271055.0,Acp_L10NK,"Jakarta, Indonesia ",546.0,1061.0,22503.0,11891.0,lawan penjahat konstitusi mahasiswabergerak mahasiswabergerak mahasiswabergerak
99,99,1124,1513206691898138630,2022-04-10 17:26:04+00:00,https://twitter.com/syaifur_rakhman/status/1513206691898138630,"@CatatanAli07 Sisain wat diminum
#MahasiswaBergerak 
#MahasiswaBergerak",0,0,0,,8.213974759110369e+17,syaifur_rakhman,Jakarta Capital Region,401.0,639.0,19606.0,5034.0,menyisakan buat diminum mahasiswabergerak mahasiswabergerak
100,100,1123,1513212245710622722,2022-04-10 17:48:08+00:00,https://twitter.com/one_moslem1/status/1513212245710622722,@CatatanAli07 Juga penghilang dahaga dikala terik. Tapi besok kan puasa.,0,0,0,,8.253472945390346e+17,one_moslem1,,2804.0,2786.0,4984.0,5823.0,juga penghilang dahaga dikala terik tapi besok puasa
101,101,1122,1513221455051477011,2022-04-10 18:24:43+00:00,https://twitter.com/165NLM/status/1513221455051477011,"@CatatanAli07 Sebor bang, raup mah biji karet",1,1,0,,3122499061.0,165NLM,@Dunia,2308.0,4293.0,98460.0,90015.0,sebor bang raup biji karet
102,102,1121,1513224713522229249,2022-04-10 18:37:40+00:00,https://twitter.com/zulhamkenzo/status/1513224713522229249,"@CatatanAli07 selamat berjuang !    rakyat berafa di belakangmu !! harapan negeri pancasila,kelak kalian yg akan merasakan ya .         #MahasiswaBergerak     #MahasiswaBergerak",0,0,0,,1.3140928428353083e+18,zulhamkenzo,,3255.0,4231.0,254.0,12512.0,selamat berjuang rakyat berafa belakang harapan negeri pancasila kelak kalian yang akan merasakan mahasiswabergerak mahasiswabergerak
104,104,1119,1513230719211909122,2022-04-10 19:01:32+00:00,https://twitter.com/Yonz_lp/status/1513230719211909122,@CatatanAli07 @__Sridiana_3va info bagus bngt...,1,0,0,,1.3102455683927368e+18,Yonz_lp,,729.0,826.0,28061.0,25209.0,informasi bagus banget
107,107,1116,1513249355540877313,2022-04-10 20:15:35+00:00,https://twitter.com/TheRieed/status/1513249355540877313,"@CatatanAli07 Klo bgitu, beli oralit aja 3 bungkus, masukin dbotol campur air...",4,0,0,,1.1134533416972248e+18,TheRieed,,373.0,438.0,6069.0,7392.0,kalo begitu beli oralit saja bungkus memasukkan dbotol campur
110,110,1113,1513269799174164480,2022-04-10 21:36:49+00:00,https://twitter.com/boco_aluih_ang/status/1513269799174164480,"@CatatanAli07 Thanks
#MahasiswaBergerak
#MahasiswaBergerak",0,0,0,,2991482342.0,boco_aluih_ang,"Padang Panjang Barat,Indonesia",10782.0,10723.0,127937.0,77316.0,terima kasih mahasiswabergerak mahasiswabergerak
111,111,1112,1513281084074602497,2022-04-10 22:21:40+00:00,https://twitter.com/Ari3fDanial/status/1513281084074602497,@CatatanAli07 Kalo dak sengaja ketelan...batal ga puasanya?,0,0,0,,3147990422.0,Ari3fDanial,"Kuantan, Pahang",128.0,380.0,9706.0,2589.0,kalau indak sengaja ketelan batal tidak puasa
112,112,1111,1513288800356560899,2022-04-10 22:52:20+00:00,https://twitter.com/papi_odin/status/1513288800356560899,@CatatanAli07 Pke air kelapa jg bisa....,2,1,0,,1.5114594422602834e+18,papi_odin,indonesia,447.0,1117.0,13220.0,12232.0,pakai kelapa juga bisa
113,113,1110,1513288905902092290,2022-04-10 22:52:45+00:00,https://twitter.com/papi_odin/status/1513288905902092290,@CatatanAli07 Tear gas nya siram air ja,0,0,0,,1.5114594422602834e+18,papi_odin,indonesia,447.0,1117.0,13220.0,12232.0,tear siram saja
115,115,1108,1513297565445332993,2022-04-10 23:27:09+00:00,https://twitter.com/noni__aja/status/1513297565445332993,"@CatatanAli07 Good saran om Ali 👍👍

#MahasiswaBergerak 
#MahasiswaBergerak",1,0,0,,461164040.0,noni__aja,"Surabaya, East Java",4440.0,4473.0,120449.0,71896.0,bagus saran mahasiswabergerak mahasiswabergerak
116,116,1107,1513301574445318147,2022-04-10 23:43:05+00:00,https://twitter.com/Lantip03/status/1513301574445318147,"@CatatanAli07 Pernah dulu bawa ""odol"",...

#MahasiswaBergerak",0,0,0,,1451442882.0,Lantip03,,172.0,354.0,6700.0,10551.0,pernah dulu bawa odol mahasiswabergerak
117,117,1106,1513321760045043713,2022-04-11 01:03:18+00:00,https://twitter.com/Firal45585035/status/1513321760045043713,"@CatatanAli07 Titp salam 

#MahasiswaBergerak 
#MahasiswaBergerak",1,0,0,,1.168481247300993e+18,Firal45585035,,1460.0,2089.0,59101.0,7313.0,titp salam mahasiswabergerak mahasiswabergerak
118,118,167,1513335185731108865,2022-04-11 01:56:39+00:00,https://twitter.com/CatatanAli07/status/1513335185731108865,"Ya Allah Lindungilah mereka jaga mereka bantu mereka untuk merubuhkan Kedzaliman yang ada diindonesia saat ini

Selamat berjuang adek adek ku mahasiswa dan para rekan dab sahabat Ali yang turun hari ini Semoga kalian selalu dalam lindungan ALLAH Swt

😭😭😭😭

#AksiNasional114",1066,30,208,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,allah lindungi mereka jaga mereka bantu mereka untuk merubuhkan kedzaliman yang diindonesia saat selamat berjuang adek adek mahasiswa para rekan sahabat yang turun hari semoga kalian selalu dalam lindungan allah aksinasional
120,120,1104,1513335639022137348,2022-04-11 01:58:27+00:00,https://twitter.com/buk4n_pej4b4t/status/1513335639022137348,@CatatanAli07 Ora saur kah bang? Kok lali 🤣🤣,0,0,0,,1.4383196717578609e+18,buk4n_pej4b4t,,768.0,863.0,1339.0,4150.0,saur bang lali
121,121,1103,1513335774120316934,2022-04-11 01:58:59+00:00,https://twitter.com/setyoNurma/status/1513335774120316934,@CatatanAli07 Aamiin yaa Rabbal'allaamiin,1,0,0,,1.0743224913492623e+18,setyoNurma,Bogor,4716.0,3600.0,29000.0,15499.0,amin rabbal allaamiin
122,122,166,1513337308816506883,2022-04-11 02:05:05+00:00,https://twitter.com/CatatanAli07/status/1513337308816506883,"Tujuan kalian apa sih SHARE VIDEO LAMA ? 

Jangan norak lah kalau gara gara video lama kalian ada yang kegocek terus masuk BUI apa kalian mau tanggung jawab ??

KALAU BELUM ADA BAHAN CUITAN MENDING DIAM!!!!

#AksiNasional114",19,1,6,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,tujuan kalian share video lama jangan norak kalau gara gara video lama kalian yang kegocek terus masuk kalian tanggung jawab kalau belum bahan cuitan lebih baik diam aksinasional
123,123,165,1513338119067947011,2022-04-11 02:08:18+00:00,https://twitter.com/CatatanAli07/status/1513338119067947011,"Justru Demo itu adalah bagian dari implementasi  DEMOKRASI 

Kok bisa bisa nya Yang dorong demo disebut tidak dewasa Hadeh sekolah lagi sanah 🤣😂

Sekelas PROFESOR bikin statemen kek bocah PAUD 😂

#MahasiswaBergerak 
#MahasiswaBergerak https://t.co/SAnOKhRhtq",126,8,30,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,justru demo adalah bagian dari implementasi demokrasi bisa bisa yang dorong demo disebut tidak dewasa hadeh sekolah lagi sanah sekelas profesor buat statemen seperti bocah paud mahasiswabergerak mahasiswabergerak
124,124,1102,1513338566931542019,2022-04-11 02:10:05+00:00,https://twitter.com/MurniMahesa19/status/1513338566931542019,"@CatatanAli07 Amin Ya Robbal Alamin...🤲

الله اكبر...الله اكبر...الله اكبر....

#MahasiswaBergerak
#MahasiswaMelawan",0,0,0,,2742780460.0,MurniMahesa19,Kalimantan Selatan Indonesia,644.0,461.0,10968.0,11936.0,amin robbal alamin mahasiswabergerak mahasiswamelawan
125,125,1101,1513340249912791040,2022-04-11 02:16:46+00:00,https://twitter.com/mmyygrgsl/status/1513340249912791040,"@CatatanAli07 Tapi alangkah baiknya kalo demo jgn anarkis, mw menang sendiri dan bikin macet. Sering banget mobil degetok2 pakek muka galak sama yg lagi demo gara2 mereka mw lewat.",0,0,0,,1.1058910605956792e+18,mmyygrgsl,,2.0,6.0,8.0,576.0,tapi alangkah baiknya kalau demo jangan anarkis now watching menang sendiri buat macet sering banget mobil degetok pakai muka galak sama yang lagi demo gara mereka now watching lewat
126,126,1100,1513340723768467470,2022-04-11 02:18:39+00:00,https://twitter.com/RUSNADI99202300/status/1513340723768467470,"@CatatanAli07 Sp sih yg punya tweet tdk ngerti demokrasi,bagi dong akun biar sy ulek spt cabe😄",2,0,0,,1.3684709905780982e+18,RUSNADI99202300,"Balikpapan Selatan, Indonesia",2081.0,2660.0,7476.0,7802.0,siapa yang punya tweet tidak mengerti demokrasi bagi dong akun biar saya ulek seperti cabe
127,127,1099,1513341727507382278,2022-04-11 02:22:39+00:00,https://twitter.com/nyonyahsyuuper/status/1513341727507382278,@CatatanAli07 Akun alter hanya buat hunter GA 😃😃,0,1,0,,607949095.0,nyonyahsyuuper,+62,12978.0,7012.0,111049.0,94189.0,akun alter hanya buat hunter tidak
129,129,164,1513344698873970690,2022-04-11 02:34:27+00:00,https://twitter.com/CatatanAli07/status/1513344698873970690,HANYA MANUSIA BODOH YANG MASIH BERANGGAPAN KONDISI INDONESIA BAIK BAIK SAJA!! https://t.co/CjNQzrtpxn,5,0,1,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,hanya manusia bodoh yang masih beranggapan kondisi indonesia baik baik saja
