,Tweet,KS,KH,DH,TDH,SWA,LO,AK
11,"@BahasaHati6 @fauzanrifan1 @alisyarief Si peyot @alisyarief dari era lampau hanya jongos , kumisnya mulai rontok",0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,@fauzanrifan1 Jongos rasa jurnalis 🤣,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,"Hey idiot.. lo plus ketum partai lo itu kelas politiknya masih dibawah adian , lo aja dari dulu cuma jongos pake bikin bandingan ... dasar tokai 👇🏻 https://t.co/j8AsWN84hR",0.0,0.0,1.0,1.0,0.0,0.0,0.0
14,"Tidak ada yang jegal dengan rasialis non jawa , hanya lo dan beberapa kadal idiot yang bikin literasi jadi pemahaman bodoh 🤔 https://t.co/Z6B8vJhuu1",1.0,0.0,1.0,1.0,0.0,0.0,0.0
15,"Dijaman suharto atau orde baru CHINA tidak sengelunjak saat ini son

Dan orang orang Pemecah Belah Persatuan bangsa dan negara seperti DENNY SIREGAR ABU JANDA CS tidak dikasih tempat saat orde baru son

Dari segi ekonomi ? Jgnkan era soeharto dgn Era SBY aja jokowi belum selevel https://t.co/9dp0NGz9Nl https://t.co/OdnoGOhtB7",1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,RT @Catatan_ali7: Pengadu domba tukang fitnah kayak lu mau posting SELF REMINDER BESERTA HADITS DAN ISI AYAT ALQURAN seribu kali pun percum…,1.0,0.0,1.0,1.0,0.0,0.0,0.0
17,"RT @Catatan_ali7: Emak emak itu Kurang puas Apa ya FITNAH gua dulu

Skrg setiap ada yg bermasalah sama gua ikut jadi kompor 🙄

Gak takut ap…",1.0,0.0,0.0,1.0,1.0,0.0,0.0
18,"RT @Catatan_ali7: BENCI ARAB
PUJA PUJI CHINA 

GOBLOK !!!!!! 😂 https://t.co/nmqhwZoGlX",1.0,1.0,0.0,1.0,0.0,0.0,0.0
19,"RT @Catatan_ali7: REQUEST POLLING dari om @Yunardi99 

Kalian tipe Pendukung ANIES BASWEDAN yang seperti Apa ??

Jika OBJEKTIF Sertakan Buk…",1.0,1.0,0.0,1.0,0.0,0.0,0.0
20,RT @Catatan_ali7: KNTL !,1.0,0.0,1.0,1.0,0.0,0.0,0.0
21,KONTOL !!! https://t.co/2JMHIW05Sj,1.0,0.0,1.0,1.0,0.0,0.0,0.0
22,@JoMinang You stupid! Can’t you see? That’s fucking dangerous For Padang Because padang Majority Moslem,1.0,0.0,1.0,1.0,0.0,0.0,0.0
23,"Dah gini aja TOREN AER mending lu fokus Tujuan awal lo menjarain RUHUT jangan melebar kemana mana apalagi bawa bawa Khilafah Pks Dll

Kalau perlu Lo sama Ruhut BAKU HANTAM 😂 https://t.co/UUhhcr2tgL",1.0,0.0,0.0,1.0,0.0,0.0,1.0
24,"JATENG AJA AMBURADUL KO ANGKAT ANGKAT PULA JADI CAPRES

ANGKA KEMISKINAN DIJATENG TERUS BERTAMBAH BAHKAN MASUK KATEGORI EKSTREM 

Gubernur kayak gini mau ko usulkan jadi CAPRES ? Gua yang Warga Jateng aja ORA SUDI!!!

GOBLOK LU CHUSNUL https://t.co/hZ0s45iOLv https://t.co/q6XPBPflia",1.0,0.0,1.0,1.0,0.0,0.0,0.0
25,@BarBaro5_ Akun gua kenak ras cebong😂😂🤦‍♀️,1.0,0.0,1.0,1.0,0.0,0.0,0.0
26,@koh_alien Mungkin diras cebong😂,1.0,0.0,1.0,1.0,0.0,0.0,0.0
27,@DjumadiDeddy Diras cebong keknya 😂🤣,1.0,0.0,1.0,1.0,0.0,0.0,0.0
28,"PENUNGGANG AGAMA ? AHOK MAKSUD NYA ? Yang menggunakan ayat Kitab suci AGAMA orang lain untuk kampanye ? Dan akhirnya kepleset terus dibui gitu maksudnya ??

😂😂 https://t.co/qpoUFVZlX4",1.0,1.0,0.0,1.0,0.0,0.0,0.0
29,"@henrysubiakto PENUNGGANG AGAMA ? AHOK MAKSUD NYA ? Yang menggunakan ayat Kitab suci AGAMA orang lain untuk kampanye ? Dan akhirnya kepleset terus dibui gitu maksudnya ??

😂😂",1.0,1.0,0.0,1.0,0.0,0.0,0.0
30,"RT @Catatan_ali7: Bayangkan ketika kamu lagi Fitnah orang lagi Ghibahin orang Allah Memanggilmu 😥😥

maka pergunakanlah kesempatan hidup mu…",1.0,0.0,0.0,1.0,0.0,0.0,0.0
31,RT @Catatan_ali7: Jika melihat KARAKTER Pendukung ANIES BASWEDAN saat ini saya rasa ANIES cocok Berpasangan dengan VIKTOR LAISKODAT Di 2024…,1.0,1.0,0.0,0.0,0.0,0.0,0.0
32,"RT @Catatan_ali7: Pujian SETINGGI LANGIT dari Anies Baswedan untuk JOKO WIDODO 

👀👀👀 https://t.co/7AxaaaQiHm",1.0,0.0,0.0,1.0,0.0,0.0,0.0
33,"@Badmilova @Yonesman2 @andi889966 @OposisiCerdas SAMPAH

BANCI AJA BELAGU 🤣😂

UDAH SEBAR KEBENCIAN  DIKASIH FAKTA KABUR...

CUIHHHH",0.0,0.0,1.0,1.0,0.0,0.0,0.0
34,"RT @Catatan_ali7: AGAMA PRIVACY ??

Agama Memang urusan kita dengan TUHAN tapi alangkah baik nya Orang Tau AGAMA kita untuk mencegah diskri…",1.0,0.0,0.0,1.0,0.0,0.0,0.0
35,RT @Catatan_ali7: Pak @iriawan84 Selalu Menjaga Protokol kesehatan Beliau Tidak lupa untuk CUCI TANGAN ! https://t.co/8qSdXXcyne,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36,"RT @Catatan_ali7: PSI diludahin Ganjar , kalau gua jadi kader nya atau ketua nya udah gua Bubarin Ini PSI karna Malu banget😂",1.0,0.0,0.0,1.0,0.0,0.0,0.0
37,RT @Catatan_ali7: Ini yang dulu ngetuit kelamin disandingkan dengan ibadah shalat jumat Ya din @BarBaro5_ 🙄,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38,@TheEagle_BEN @CCICPolri @DivHumas_Polri @DJPPIKominfo Meresahkan sekali pak tangkap saja orang ini @TheEagle_BEN,1.0,0.0,0.0,1.0,0.0,0.0,0.0
39,@TheEagle_BEN @CCICPolri @DivHumas_Polri @DJPPIKominfo Tolong pak polisi orang ini @TheEagle_BEN sudah miskin suka maen judi lagi 🙄,1.0,0.0,0.0,1.0,0.0,0.0,0.0
40,@TheEagle_BEN berhentilah ko main judi bodoh!,0.0,0.0,1.0,1.0,0.0,0.0,0.0
41,@TheEagle_BEN Ko bicaralah baik baik bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
42,@TheEagle_BEN Bahhh pemaksaan itu bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
43,@TheEagle_BEN Hajar lah ben jangan pakai lama,1.0,0.0,0.0,1.0,0.0,0.0,0.0
44,@TheEagle_BEN @tempodotco Gak suka aku bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
45,Mulai nakal ko bodat🤣😂 https://t.co/1iOWaPV1bF,0.0,0.0,1.0,1.0,0.0,0.0,0.0
46,Kan itu nama ko setan 🙄 https://t.co/gI4q8JOfgc,0.0,0.0,1.0,1.0,0.0,0.0,0.0
47,"Abu janda Denny Siregar Itu ASET REZIM mustahil ditangkap apalagi sampai dipenjara 

Puluhan Laporan untuk mereka Mental semua mustahil kalau tidak ada backup bisa lolos terus dari Jeratan Hukum...

#PolriTakutAbuJanda",1.0,0.0,0.0,0.0,0.0,0.0,1.0
48,@TheEagle_BEN @DivHumas_Polri Aku tanya ko udah berapa ekor ko cabuli,1.0,0.0,0.0,1.0,0.0,0.0,0.0
49,@TheEagle_BEN @DivHumas_Polri Kau sudah cabuli berapa ekor ayam ben,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50,#PolriTakutAbuJanda https://t.co/wfS249bdHn,1.0,0.0,0.0,1.0,0.0,0.0,0.0
51,@TheEagle_BEN @geloraco Ko vaksinlah bodoh nanti mati ko,0.0,0.0,1.0,1.0,0.0,0.0,0.0
52,@TheEagle_BEN Terus ko yg mana bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
53,@TheEagle_BEN Diam ko bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
54,"@febbyhhhh Loh gak ada urusan nya ISRAEL ITU SAMPAH dunia mengakui kebiadaban mereka 

FIFA DUKUNG LGBT
FIFA DUKUNG UKRAINA

Mereka berpolitik loh jadi tidak ada salahnya jika INDONESIA TOLAK ZIONIS  DATANG",1.0,0.0,0.0,1.0,0.0,0.0,0.0
55,@TheEagle_BEN @Catatan_ali7 Aku lagi malas jawab bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
56,@idextratime RONALDINHO ukur lapangan kan goblok ini kan partai hiburan😂,0.0,0.0,1.0,1.0,0.0,0.0,0.0
57,"Yang nama nya MUHAMMAD atau MUHAMAD itu belum berarti nabi tapi Nama Muhammad Atau Muhamad itu terinspirasi dari Nama BAGINDA NABI BESAR MUHAMMAD 

Jadi Rasanya Tidak pantas tidak Elok Nama MUHAMMAD dijadikan objek satir objek olok olokan dll

INGIN BERBEDA BOLEH BODOH JANGAN!!!! https://t.co/bzMytlicyY",1.0,0.0,0.0,1.0,0.0,0.0,0.0
58,"Yang nama nya MUHAMMAD MUHAMAD itu belum berarti nabi tapi Nama Muhammad Atau Muhammad itu terinspirasi dari Nama BAGINDA NABI BESAR MUHAMMAD 

Jadi Rasanya Tidak pantas tidak Elok Nama MUHAMMAD dijadikan objek satir objel olok olokan dll

INGIN BERBEDA BOLEH BODOH JANGAN",1.0,0.0,0.0,1.0,0.0,0.0,0.0
59,@soekaca55 @nyonyahsyuper Wong pekok😂,0.0,0.0,1.0,1.0,0.0,0.0,0.0
60,@TheEagle_BEN @geloraco Alternatif bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
61,@BarBaro5_ @ajengcute16__ @AgusYudhoyono Taik lo beda lagi muncung ko🤣🤣,0.0,0.0,1.0,1.0,0.0,0.0,0.0
62,@AlifAlhusein @Boruhutapea_18 @akunkelima212 Berisik kali ko bodat Bopak bapak aja ko dari tadi gak ada narasi lain kutempeleng juga ko nanti,0.0,0.0,1.0,1.0,0.0,0.0,0.0
63,@TheEagle_BEN @yo2thok Aku bertanya itu apa bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
64,@HakimPanglima @friscadilla_17 GOBLOK lu njing,0.0,0.0,1.0,1.0,0.0,0.0,0.0
65,@TheEagle_BEN @OposisiCerdas Tidorlah bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
66,@TheEagle_BEN @democrazymedia BODOH,0.0,0.0,1.0,1.0,0.0,0.0,0.0
67,@TheEagle_BEN @yo2thok Taik ko ben kutempeleng sekalia  ko  nanti,0.0,0.0,1.0,1.0,0.0,0.0,0.0
68,@TheEagle_BEN @yo2thok Bodoh ko kutempeleng nanti bapak itu,0.0,0.0,1.0,1.0,0.0,0.0,0.0
69,"SOMBONG AMAT 😂🤦‍♀️

Bukan kader Partai tapi mau diusung kalau capres 

Ini ada Wacana lagi dari relawan gak mau pakai partai atau nyapres lewat partai

Yassalam Relawan relawan Anies kok 11 12 kek TEMAN AHOK dan PROJO kualitasnya 🙄🤦‍♀️ https://t.co/n4sYj2583d",1.0,0.0,0.0,1.0,0.0,0.0,0.0
70,"Bah ini BAKSO BERANAK masih aja ngoceh dari tadi sudahlah fokus saja ke masalah ko sama RUHUT

Jangan ko bawa bawa yang tidak ada RELEVANSI nya dengan masalah ko sama ruhut 

Kalau perlu ko BETUMBUK sama Ruhut kami dukung https://t.co/1WV6vzLa2n",1.0,0.0,0.0,1.0,0.0,0.0,0.0
71,"Ko fokus saja sama RUHUT jangan melebar kemana mana kek badan ko ....

Dan coba ko jelaskan juga maksud ko RT soal LGBT maksudnya apa ? 

Ko sudah setua ini masak FUNGSI SILIT Gak paham!! https://t.co/T3TcEeG6hi",1.0,0.0,1.0,0.0,0.0,0.0,0.0
72,@Boruhutapea_18 @MegaPKeliduan @ruhutsitompul Sibodat udah mulai masuk angin sudah gak jelas muncungnya arahnya kemana,1.0,0.0,1.0,0.0,0.0,0.0,0.0
73,@TheEagle_BEN @ketololan_tolol Bodoh ko🙄,0.0,0.0,1.0,1.0,0.0,0.0,0.0
74,@TheEagle_BEN @ketololan_tolol Bodoh ko🙄,0.0,0.0,1.0,1.0,0.0,0.0,0.0
75,@TheEagle_BEN @ketololan_tolol Itu ko ben ?,0.0,0.0,1.0,1.0,0.0,0.0,0.0
76,@Boruhutapea_18 @psi_id @Giring_Ganesha @Dennysiregar7 Manusia manusia bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
77,@TheEagle_BEN @Syaiful14742 @democrazymedia Bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
78,@TheEagle_BEN @democrazymedia @Syaiful14742 Air raksa bodoh,0.0,0.0,1.0,1.0,0.0,0.0,0.0
79,@ruhutsitompul TOLOL https://t.co/eqj85fPYAF,0.0,0.0,1.0,1.0,0.0,0.0,0.0
80,Anjeng😂 lu dibatasi gua dikunci bangsat emang si @elonmusk 🤦‍♀️😂 https://t.co/1JGxYv4j3A,0.0,0.0,1.0,1.0,0.0,0.0,0.0
81,@BarBaro5_ @PanciB0zz Gara gara ngatain gay anjeng😂,0.0,0.0,1.0,1.0,0.0,0.0,0.0
82,@PanciB0zz @BarBaro5_ Ini di ras ya kalau kek gini 😂 https://t.co/GII9wLomn2,1.0,0.0,0.0,1.0,0.0,0.0,0.0
83,BAKAR HIDUP HIDUP!!! https://t.co/I8Xrninfv2,1.0,0.0,0.0,1.0,0.0,0.0,0.0
84,"@RadarKorupsi @jokowi @kangdede78 MASIH SUKA NGEWE sama banci de ?

Komisaris dapat hadiah ciki aja lagu nya udah kek apaan tau

Ingat lo komisaris itu karna hasil ngebuzzer bukan karna otak lo pintar orang pintar mana mau NGEWE SAMA BANCI DE

@jokowi sampah kayak dede bisa bisa nya diangkat komisaris",0.0,0.0,1.0,1.0,0.0,0.0,0.0
85,"Pengamat amatiran seperti @CoachJustinL jika masih dikasih panggung ya begini masih akan terus pamer kebodohan nya....

https://t.co/kxYzj18mJS",0.0,0.0,1.0,1.0,0.0,0.0,0.0
86,@naina_TShah Mengajak untuk bodoh 😂,0.0,0.0,1.0,1.0,0.0,0.0,0.0
87,Orang dibawah ini memanfaatkan kebodohan nya untuk membodoh bodohi orang lain 😂🤣😂 https://t.co/94kkFgPyrK,0.0,0.0,1.0,1.0,0.0,0.0,0.0
88,@veaadeeana @semutsemeru @nyonyahsyuper @Catatan_ali7 @AchmadAnnama Tolol benci sama siapa tapi dagangan orang dibawa bawa,0.0,0.0,1.0,1.0,0.0,0.0,0.0
89,"@semutsemeru @nyonyahsyuper @Catatan_ali7 @AchmadAnnama GOBLOK berani nya maen blokir kalau bacot itu mikir dulu dateng dateng ngehina sana sini

SEMOGA KUE GAK BASI Lu pikir kue udah mau Basi dikasiin orang

TOLOL https://t.co/AVpoG0niL5",0.0,0.0,1.0,1.0,0.0,0.0,0.0
90,@TriSuaka1 TAIK LU https://t.co/ZNZpHyAI8P,0.0,0.0,1.0,1.0,0.0,0.0,0.0
91,"Ada lagi ORANG GILA ngaku sedaerah sama gua tau pasti soal gua

tapi aneh nya gua sendiri merasa gak pernah ketemu sama sekali sama dia gak tau siapa itu orang dan dia pake akun anonim 🤣😂

Goblok 😂",0.0,0.0,1.0,1.0,0.0,0.0,0.0
92,"@saposikompak Cebong goblok
Bisanya cuma monggat manggut",0.0,0.0,1.0,1.0,0.0,0.0,0.0
93,HANYA MANUSIA BODOH YANG MASIH BERANGGAPAN KONDISI INDONESIA BAIK BAIK SAJA!! https://t.co/CjNQzrtpxn,0.0,0.0,1.0,1.0,0.0,0.0,0.0
94,RT @Catatan_ali7: Kalau abis Nonton Bokep SANGE HE 🙄👍,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,RT @Catatan_ali7: Tanah Milik DKI dari 2012 sudah tidak bayar iuran tidak punya SHM itu bukti kalau ANIES TEGAS lebih Tegas dari JOKOWI AHO…,0.0,0.0,0.0,1.0,0.0,0.0,0.0
96,"RT @Catatan_ali7: Bikin CUITAN AGAMA silahkan tapi ya sesuaikan dengan kelakuan nya , jgn hanya sekedar untuk cari simpati dan pujian 

Set…",1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"RT @Catatan_ali7: Semua berat GHIBAH awal dari FITNAH dan FITNAH sudah pasti GHIBAH

Orang Terbiasa GHIBAH dia tidak akan merasa kalau dia…",0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,RT @Catatan_ali7: Yank..... kamu jalan duluan ya aku masih sarungan belum sempat pake celana tadi 🙄,0.0,0.0,0.0,0.0,1.0,0.0,0.0
99,RT @Catatan_ali7: Solusi nya PRIA harus banyak Minum SUSU 🙄👍 https://t.co/KBmkN3nWWp ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,"RT @Catatan_ali7: Hidup jaman sekarang serba salah

MISKIN dikejar kejar BAIM WONG
KAYA dikejar kejar YUSUF MANSYUR 

🙄",1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,"@Badmilova @Yonesman2 @andi889966 @OposisiCerdas POTONG AJA TUH KONTOL
Baru disentil fakta sedikit udah berak dicelana 🤣😂 https://t.co/m9JmYenyJz",0.0,0.0,0.0,1.0,0.0,0.0,0.0
102,@TheEagle_BEN Bah kalau aku jadi papa mamanya bukan aku tolak tapi aku bunuh ko ben😂🤣,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,@TheEagle_BEN @tempodotco Matamu,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,@TheEagle_BEN Pala ko,0.0,0.0,1.0,0.0,0.0,0.0,0.0
105,@Mr_cosanostra @BarBaro5_ udin walaupun paok tapi merendah keren kali😂🤣,0.0,0.0,1.0,0.0,0.0,0.0,0.0
106,@Stevaniehuangg Pokoknya sibuluk 😂,0.0,0.0,0.0,1.0,0.0,0.0,0.0
107,"@BarBaro5_ Ngerih aku dimakinya lagi nanti padahal bukan pks itu ,itu golkar din",1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,@Boruhutapea_18 @kangdede78 Itu orang masih suka jajan waria sembarangan ga ya 🤣,0.0,0.0,0.0,1.0,0.0,0.0,0.0
109,"Beristri ber anak masih modus sana sini jd ingat KASUS yg pernah gua tanganin KASUS nya hampir sama cuma beda Cara mengeksekusi korban aja tapi poin sama yaitu INCAR HARTA KORBAN

ISTRI Sah dirumah masakin suami ANAK dirumah nungguin AYAH nya Eh AYAH nya lagi sama Selingkuhan🤦‍♀️",1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,@TheEagle_BEN @geloraco Kepala ko kulubangi nanti,0.0,0.0,0.0,1.0,0.0,0.0,0.0
111,"@DrEvaChaniago @Boruhutapea_18 @emzearfn @emzearfn kalau baperan jangan maen twitter pak maen becekan aja sama bebek 😂

Bikin cuitan dikomentari maen blok 😂",0.0,0.0,0.0,1.0,0.0,0.0,0.0
112,Ini ko @TheEagle_BEN ? Jan lah ko rusuh dijogja kutempeleng juga ko nanti https://t.co/ShiQ822jRk,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"BIKIN MALU LO @persikfckediri GA BISA BEDAIN FUN FOOTBALL SAMA LAGA RESMI...

KEK PALING BAGUS AJA MAIN NYA!!!!! https://t.co/4d6RpQ4kjh",1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,"CUITAN ROHANI
KELAKUAN ROHALUS https://t.co/MVHcSm9Xwx",1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,KADRUN https://t.co/INUw0qeQsJ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
116,Mirip ramalan Gua saat Pilihan walikota solo waktu itu 😂 https://t.co/AoVjELvJKI https://t.co/MCGXBJKMlZ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,"Pdip
Mega Vs Jokowi

Pkb
Imin vs Yenny

Jangan dipisahin antepin aja 🤣😂",1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,GUSDURIAN yakin masih mau pilih ini orang jika NYAPRES nanti ??? https://t.co/LQ6vXmpxWV,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,@TheEagle_BEN @Catatan_ali7 @AlyaFziyah Pala ko kutelan,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,@TheEagle_BEN Kutempeleng ko nanti,0.0,0.0,0.0,1.0,0.0,0.0,0.0
121,@TheEagle_BEN Betumbuk lah kita,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122,@TheEagle_BEN Pala ko sedekah,0.0,0.0,0.0,1.0,0.0,0.0,0.0
123,@TheEagle_BEN Kepala ko,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124,@soekaca55 @nyonyahsyuper Taek,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125,"@GSXRR750 @idextratime @ManTheDark3 Yang dibahas apa yang dijawab apa keliatan sekali kualitas Otak anda....

Benci boleh tapi GOBLOK jangan .... kalau bahas pemain Pemain Flop  lain perasaan banyakan CHELSEA

HIGUAIN TORRES APA KABAR ? 😂",0.0,0.0,0.0,1.0,0.0,0.0,0.0
126,@TheEagle_BEN @geloraco Kutempeleng ko nanti,0.0,0.0,0.0,1.0,0.0,0.0,0.0
127,@TheEagle_BEN @geloraco Ayolah betumbuk kita,0.0,0.0,0.0,1.0,0.0,0.0,0.0
128,@TheEagle_BEN @geloraco Ayolah betumbuk kita,0.0,0.0,0.0,1.0,0.0,0.0,0.0
129,@TheEagle_BEN @geloraco Takut ko rupanya,0.0,0.0,0.0,1.0,0.0,0.0,0.0
130,@TheEagle_BEN @geloraco Suruh kawan ko maju sekalian,0.0,0.0,0.0,1.0,0.0,0.0,0.0
131,@TheEagle_BEN @geloraco Betumbuklah kita,0.0,0.0,0.0,1.0,0.0,0.0,0.0
132,@TheEagle_BEN @eigeradventure Pala ko kutempeleng nanti,0.0,0.0,0.0,1.0,0.0,0.0,0.0
133,@TheEagle_BEN @geloraco Pala ko kutipiskan nanti,0.0,0.0,0.0,1.0,0.0,0.0,0.0
134,@TheEagle_BEN @geloraco Nuduh kepala ko,0.0,0.0,0.0,1.0,0.0,0.0,0.0
135,@TheEagle_BEN @geloraco Kutombak muncung ko nanti,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136,"@ajengcute16__ @BarBaro5_ Itu lain hal yg dimaksud manfaat poling itu apa jika tidak jd apa apa

Kalau belum berkuasa semua pasti bicara soal korupsi tidak korupsi dll so gua ga mau bahas itu 

Yg gua bahas hasil poling untuk apa",1.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Sama Lonte Negara kek gak ada harga diri nya 🤣😂,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138,"Sejak kapan juga SESAJEN punya Agama ? 

Kok ditendang dibuang pada ngamuk 🤔 https://t.co/9p55GJssYq",1.0,0.0,0.0,0.0,0.0,0.0,0.0
139,GOBLOK🤦‍♀️ https://t.co/wlpTpE3NVf,0.0,0.0,0.0,1.0,0.0,0.0,0.0
140,@TheEagle_BEN @yo2thok Kan ko tanya bodoh,0.0,0.0,0.0,1.0,0.0,0.0,0.0
141,@TheEagle_BEN @yo2thok Aku kan sudah dewasa bodoh,0.0,0.0,0.0,1.0,0.0,0.0,0.0
142,@Dh4n1eL33 @UnitedStandMUFC Iya juga ya 😂🤣,0.0,0.0,0.0,1.0,0.0,0.0,0.0
143,@HakimPanglima @friscadilla_17 Berisik lu njing,0.0,0.0,0.0,1.0,0.0,0.0,0.0
144,@xlinee_id Eek,0.0,0.0,1.0,0.0,0.0,0.0,0.0
145,"Jaka sembung bawa Golok
Gak nyambung GOBLOK https://t.co/ZOeq0OO8Oz",0.0,0.0,0.0,1.0,0.0,0.0,0.0
146,@TheEagle_BEN @OposisiCerdas Muka ko kek setan,0.0,0.0,0.0,1.0,0.0,0.0,0.0
147,@TheEagle_BEN @OposisiCerdas Taik ko,0.0,0.0,1.0,0.0,0.0,0.0,0.0
148,@TheEagle_BEN @OposisiCerdas Kepala ko kupecah pecah nanti,0.0,0.0,0.0,1.0,0.0,0.0,0.0
149,@laode_kowu @Gojekmilitan Mas mau beli pusaka saya gak bisa ngilangin gobloknya 🙄 https://t.co/c34JjqhwBA,0.0,0.0,0.0,1.0,0.0,0.0,0.0
150,"@ruhutsitompul @friscadilla_17 @MegaPKeliduan Ko berak lah dulu hut yang banyak 
Dipenjara mau berak antri nanti 😂🤣😂",0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,"Habis Pigai terbitlah Mega masuk angin semua ternyata dan ujung ujung nya hanya PANSOS dan selain PANSOS terselip juga CAMPAIGN LGBT

Jangan pakai lama ABAIKAN ( RAS BLOKIR UNFOL ) Orang macam ini 

Sudah tidak ada manfaat nya juga kita ikutin !! https://t.co/URTTEzxcXK",1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,"Ketum ko bahas BHINEKA TUNGGA IKA tapi dia dukung LGBT

Berarti dia tidak tau arti BHINEKA TUNGGA IKA itu apa ? 

BHINEKA TUNGGA IKA itu intinya membahas soal PERBEDAAN

LGBT itu bukan perbedaan Tp Persamaan yg coba dijadikan 1

Jadi LGBT itu bukan bagian dari BHINEKA TUNGGA IKA https://t.co/kcWf2UrnK8",1.0,0.0,0.0,0.0,0.0,0.0,0.0
153,@Boruhutapea_18 @z4r4n @MegaPKeliduan @ruhutsitompul Gak beda jauh sama natalius pigai masuk anjing eh angin ditengah jalan,0.0,0.0,1.0,0.0,0.0,0.0,0.0
154,"Bawa bawa PKS lagi ko Paok 🤦‍♀️ 
Ko sebenernya mau PENJARAIN RUHUT atau mau KAMPANYE LGBT ??? https://t.co/amk6gbbNzn",0.0,0.0,0.0,0.0,0.0,0.0,1.0
155,@Mr_cosanostra @MegaPKeliduan Goblok kan🤣😂,0.0,0.0,0.0,1.0,0.0,0.0,0.0
