,Id,Tweet Time,Url,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,Follower Count,Following Count,Likes Count,Tweets Count,Tweet Text,KS,KH,DH,TDH,SWA,LO,AK
3,1580451643471994881,2022-10-13 06:53:29+00:00,https://twitter.com/CatatanAli07/status/1580451643471994881,0,0,3,https://twitter.com/Catatan_ali7/status/1580451260452388864,,,,,,,,RT @Catatan_ali7: Pengadu domba tukang fitnah kayak lu mau posting SELF REMINDER BESERTA HADITS DAN ISI AYAT ALQURAN seribu kali pun percum…,1,0,1,1,0,0,0
6,1580442591241285633,2022-10-13 06:17:31+00:00,https://twitter.com/CatatanAli07/status/1580442591241285633,0,0,3,https://twitter.com/Catatan_ali7/status/1575114480891363328,,,,,,,,"RT @Catatan_ali7: Emak emak itu Kurang puas Apa ya FITNAH gua dulu

Skrg setiap ada yg bermasalah sama gua ikut jadi kompor 🙄

Gak takut ap…",1,0,0,1,1,0,0
9,1580427739676696576,2022-10-13 05:18:30+00:00,https://twitter.com/CatatanAli07/status/1580427739676696576,0,0,2,https://twitter.com/Catatan_ali7/status/1580427538408820736,,,,,,,,"RT @Catatan_ali7: BENCI ARAB
PUJA PUJI CHINA 

GOBLOK !!!!!! 😂 https://t.co/nmqhwZoGlX",1,1,0,1,0,0,0
34,1579804761641332739,2022-10-11 12:03:01+00:00,https://twitter.com/CatatanAli07/status/1579804761641332739,0,0,24,https://twitter.com/Catatan_ali7/status/1579283840908283904,,,,,,,,"RT @Catatan_ali7: REQUEST POLLING dari om @Yunardi99 

Kalian tipe Pendukung ANIES BASWEDAN yang seperti Apa ??

Jika OBJEKTIF Sertakan Buk…",1,1,0,1,0,0,0
78,1577783093145976832,2022-10-05 22:09:37+00:00,https://twitter.com/CatatanAli07/status/1577783093145976832,0,0,2,https://twitter.com/Catatan_ali7/status/1577780132680323072,,,,,,,,RT @Catatan_ali7: KNTL !,1,0,1,1,0,0,0
83,1576706514840326144,2022-10-02 22:51:41+00:00,https://twitter.com/CatatanAli07/status/1576706514840326144,2,0,3,,,,,,,,,KONTOL !!! https://t.co/2JMHIW05Sj,1,0,1,1,0,0,0
553,1535662267622035456,2022-06-11 16:36:30+00:00,https://twitter.com/CatatanAli07/status/1535662267622035456,5,0,2,,1046007871203291137,JoMinang,Land of Paradox,1239,697,1360,21033,@JoMinang You stupid! Can’t you see? That’s fucking dangerous For Padang Because padang Majority Moslem,1,0,1,1,0,0,0
735,1529816141639561217,2022-05-26 13:26:05+00:00,https://twitter.com/CatatanAli07/status/1529816141639561217,2,0,3,,,,,,,,,"Dah gini aja TOREN AER mending lu fokus Tujuan awal lo menjarain RUHUT jangan melebar kemana mana apalagi bawa bawa Khilafah Pks Dll

Kalau perlu Lo sama Ruhut BAKU HANTAM 😂 https://t.co/UUhhcr2tgL",1,0,0,1,0,0,1
849,1524575771594960896,2022-05-12 02:22:43+00:00,https://twitter.com/CatatanAli07/status/1524575771594960896,8,1,3,,,,,,,,,"JATENG AJA AMBURADUL KO ANGKAT ANGKAT PULA JADI CAPRES

ANGKA KEMISKINAN DIJATENG TERUS BERTAMBAH BAHKAN MASUK KATEGORI EKSTREM 

Gubernur kayak gini mau ko usulkan jadi CAPRES ? Gua yang Warga Jateng aja ORA SUDI!!!

GOBLOK LU CHUSNUL https://t.co/hZ0s45iOLv https://t.co/q6XPBPflia",1,0,1,1,0,0,0
883,1524564515148668928,2022-05-12 01:38:00+00:00,https://twitter.com/CatatanAli07/status/1524564515148668928,4,3,1,,1031514793000099846,BarBaro5_,"Cina, Indonesia",4956,1270,51461,34141,@BarBaro5_ Akun gua kenak ras cebong😂😂🤦‍♀️,1,0,1,1,0,0,0
910,1524558382874734592,2022-05-12 01:13:38+00:00,https://twitter.com/CatatanAli07/status/1524558382874734592,1,1,0,,1522861243035529218,koh_alien,Di ambang sore,4219,3329,4240,3692,@koh_alien Mungkin diras cebong😂,1,0,1,1,0,0,0
916,1524555305589215232,2022-05-12 01:01:24+00:00,https://twitter.com/CatatanAli07/status/1524555305589215232,0,0,0,,1101500298319749126,DjumadiDeddy,"Jakarta Selatan, Indonesia",13809,12452,63626,82877,@DjumadiDeddy Diras cebong keknya 😂🤣,1,0,1,1,0,0,0
979,1518786327353131008,2022-04-26 02:57:32+00:00,https://twitter.com/CatatanAli07/status/1518786327353131008,1,0,0,,,,,,,,,"PENUNGGANG AGAMA ? AHOK MAKSUD NYA ? Yang menggunakan ayat Kitab suci AGAMA orang lain untuk kampanye ? Dan akhirnya kepleset terus dibui gitu maksudnya ??

😂😂 https://t.co/qpoUFVZlX4",1,1,0,1,0,0,0
980,1518785785075728384,2022-04-26 02:55:23+00:00,https://twitter.com/CatatanAli07/status/1518785785075728384,11,0,4,,201554665,henrysubiakto,"Kota Surabaya, Jawa Timur",75399,239,7251,22509,"@henrysubiakto PENUNGGANG AGAMA ? AHOK MAKSUD NYA ? Yang menggunakan ayat Kitab suci AGAMA orang lain untuk kampanye ? Dan akhirnya kepleset terus dibui gitu maksudnya ??

😂😂",1,1,0,1,0,0,0
4,1580442623268900865,2022-10-13 06:17:39+00:00,https://twitter.com/CatatanAli07/status/1580442623268900865,0,0,10,https://twitter.com/Catatan_ali7/status/1574912256978128902,,,,,,,,"RT @Catatan_ali7: Bayangkan ketika kamu lagi Fitnah orang lagi Ghibahin orang Allah Memanggilmu 😥😥

maka pergunakanlah kesempatan hidup mu…",1,0,0,1,0,0,0
10,1580422682046189568,2022-10-13 04:58:24+00:00,https://twitter.com/CatatanAli07/status/1580422682046189568,0,0,2,https://twitter.com/Catatan_ali7/status/1580422388830773249,,,,,,,,RT @Catatan_ali7: Jika melihat KARAKTER Pendukung ANIES BASWEDAN saat ini saya rasa ANIES cocok Berpasangan dengan VIKTOR LAISKODAT Di 2024…,1,1,0,0,0,0,0
42,1579467011390074880,2022-10-10 13:40:55+00:00,https://twitter.com/CatatanAli07/status/1579467011390074880,0,0,31,https://twitter.com/Catatan_ali7/status/1423297152458002439,,,,,,,,"RT @Catatan_ali7: Pujian SETINGGI LANGIT dari Anies Baswedan untuk JOKO WIDODO 

👀👀👀 https://t.co/7AxaaaQiHm",1,0,0,1,0,0,0
48,1579061722241200128,2022-10-09 10:50:26+00:00,https://twitter.com/CatatanAli07/status/1579061722241200128,0,0,0,,1460922006266810368,Badmilova,Jakarta,28,101,1674,2667,"@Badmilova @Yonesman2 @andi889966 @OposisiCerdas SAMPAH

BANCI AJA BELAGU 🤣😂

UDAH SEBAR KEBENCIAN  DIKASIH FAKTA KABUR...

CUIHHHH",0,0,1,1,0,0,0
54,1578744331892326400,2022-10-08 13:49:15+00:00,https://twitter.com/CatatanAli07/status/1578744331892326400,0,0,18,https://twitter.com/Catatan_ali7/status/1578714717534949376,,,,,,,,"RT @Catatan_ali7: AGAMA PRIVACY ??

Agama Memang urusan kita dengan TUHAN tapi alangkah baik nya Orang Tau AGAMA kita untuk mencegah diskri…",1,0,0,1,0,0,0
58,1578675784126193664,2022-10-08 09:16:51+00:00,https://twitter.com/CatatanAli07/status/1578675784126193664,0,0,47,https://twitter.com/Catatan_ali7/status/1578673993422626816,,,,,,,,RT @Catatan_ali7: Pak @iriawan84 Selalu Menjaga Protokol kesehatan Beliau Tidak lupa untuk CUCI TANGAN ! https://t.co/8qSdXXcyne,1,0,0,1,0,0,0
66,1578314766535491584,2022-10-07 09:22:18+00:00,https://twitter.com/CatatanAli07/status/1578314766535491584,0,0,10,https://twitter.com/Catatan_ali7/status/1578313943097176064,,,,,,,,"RT @Catatan_ali7: PSI diludahin Ganjar , kalau gua jadi kader nya atau ketua nya udah gua Bubarin Ini PSI karna Malu banget😂",1,0,0,1,0,0,0
69,1578234643714756609,2022-10-07 04:03:55+00:00,https://twitter.com/CatatanAli07/status/1578234643714756609,0,0,2,https://twitter.com/Catatan_ali7/status/1577417549050179584,,,,,,,,RT @Catatan_ali7: Ini yang dulu ngetuit kelamin disandingkan dengan ibadah shalat jumat Ya din @BarBaro5_ 🙄,1,0,0,1,0,0,0
91,1574367698875604992,2022-09-26 11:58:04+00:00,https://twitter.com/CatatanAli07/status/1574367698875604992,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @CCICPolri @DivHumas_Polri @DJPPIKominfo Meresahkan sekali pak tangkap saja orang ini @TheEagle_BEN,1,0,0,1,0,0,0
93,1574367313284894720,2022-09-26 11:56:32+00:00,https://twitter.com/CatatanAli07/status/1574367313284894720,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @CCICPolri @DivHumas_Polri @DJPPIKominfo Tolong pak polisi orang ini @TheEagle_BEN sudah miskin suka maen judi lagi 🙄,1,0,0,1,0,0,0
94,1574366418279092224,2022-09-26 11:52:59+00:00,https://twitter.com/CatatanAli07/status/1574366418279092224,0,1,0,,1492190828499902466,CatatanAli07,,2683,1557,209,4133,@TheEagle_BEN berhentilah ko main judi bodoh!,0,0,1,1,0,0,0
114,1546829268465856513,2022-07-12 12:10:10+00:00,https://twitter.com/CatatanAli07/status/1546829268465856513,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN Ko bicaralah baik baik bodoh,0,0,1,1,0,0,0
116,1546828454066155526,2022-07-12 12:06:56+00:00,https://twitter.com/CatatanAli07/status/1546828454066155526,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN Bahhh pemaksaan itu bodoh,0,0,1,1,0,0,0
119,1546826712091987968,2022-07-12 12:00:01+00:00,https://twitter.com/CatatanAli07/status/1546826712091987968,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN Hajar lah ben jangan pakai lama,1,0,0,1,0,0,0
120,1546826008627580928,2022-07-12 11:57:13+00:00,https://twitter.com/CatatanAli07/status/1546826008627580928,0,0,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @tempodotco Gak suka aku bodoh,0,0,1,1,0,0,0
121,1546825616338857985,2022-07-12 11:55:40+00:00,https://twitter.com/CatatanAli07/status/1546825616338857985,2,3,0,,,,,,,,,Mulai nakal ko bodat🤣😂 https://t.co/1iOWaPV1bF,0,0,1,1,0,0,0
143,1545609653739958272,2022-07-09 03:23:52+00:00,https://twitter.com/CatatanAli07/status/1545609653739958272,0,0,0,,,,,,,,,Kan itu nama ko setan 🙄 https://t.co/gI4q8JOfgc,0,0,1,1,0,0,0
147,1545095407713280002,2022-07-07 17:20:26+00:00,https://twitter.com/CatatanAli07/status/1545095407713280002,7,1,6,,,,,,,,,"Abu janda Denny Siregar Itu ASET REZIM mustahil ditangkap apalagi sampai dipenjara 

Puluhan Laporan untuk mereka Mental semua mustahil kalau tidak ada backup bisa lolos terus dari Jeratan Hukum...

#PolriTakutAbuJanda",1,0,0,0,0,0,1
151,1544950891442122753,2022-07-07 07:46:10+00:00,https://twitter.com/CatatanAli07/status/1544950891442122753,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @DivHumas_Polri Aku tanya ko udah berapa ekor ko cabuli,1,0,0,1,0,0,0
152,1544950134160510976,2022-07-07 07:43:10+00:00,https://twitter.com/CatatanAli07/status/1544950134160510976,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @DivHumas_Polri Kau sudah cabuli berapa ekor ayam ben,1,0,0,1,0,0,0
158,1544923373930565632,2022-07-07 05:56:50+00:00,https://twitter.com/CatatanAli07/status/1544923373930565632,5,0,1,,,,,,,,,#PolriTakutAbuJanda https://t.co/wfS249bdHn,1,0,0,1,0,0,0
200,1543882582164533248,2022-07-04 09:01:06+00:00,https://twitter.com/CatatanAli07/status/1543882582164533248,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @geloraco Ko vaksinlah bodoh nanti mati ko,0,0,1,1,0,0,0
207,1543877626980626432,2022-07-04 08:41:24+00:00,https://twitter.com/CatatanAli07/status/1543877626980626432,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN Terus ko yg mana bodoh,0,0,1,1,0,0,0
221,1543209665432981504,2022-07-02 12:27:10+00:00,https://twitter.com/CatatanAli07/status/1543209665432981504,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN Diam ko bodoh,0,0,1,1,0,0,0
233,1542325015932153856,2022-06-30 01:51:53+00:00,https://twitter.com/CatatanAli07/status/1542325015932153856,0,1,0,,1158020890895929344,febbyhhhh,Indonesia,61,173,523,584,"@febbyhhhh Loh gak ada urusan nya ISRAEL ITU SAMPAH dunia mengakui kebiadaban mereka 

FIFA DUKUNG LGBT
FIFA DUKUNG UKRAINA

Mereka berpolitik loh jadi tidak ada salahnya jika INDONESIA TOLAK ZIONIS  DATANG",1,0,0,1,0,0,0
302,1541320935642259458,2022-06-27 07:22:02+00:00,https://twitter.com/CatatanAli07/status/1541320935642259458,0,0,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @Catatan_ali7 Aku lagi malas jawab bodoh,0,0,1,1,0,0,0
305,1541054461367316480,2022-06-26 13:43:09+00:00,https://twitter.com/CatatanAli07/status/1541054461367316480,7,0,1,,1222927522033094656,idextratime,,457129,1027,35877,62391,@idextratime RONALDINHO ukur lapangan kan goblok ini kan partai hiburan😂,0,0,1,1,0,0,0
309,1540921930126987264,2022-06-26 04:56:31+00:00,https://twitter.com/CatatanAli07/status/1540921930126987264,9,0,9,,,,,,,,,"Yang nama nya MUHAMMAD atau MUHAMAD itu belum berarti nabi tapi Nama Muhammad Atau Muhamad itu terinspirasi dari Nama BAGINDA NABI BESAR MUHAMMAD 

Jadi Rasanya Tidak pantas tidak Elok Nama MUHAMMAD dijadikan objek satir objek olok olokan dll

INGIN BERBEDA BOLEH BODOH JANGAN!!!! https://t.co/bzMytlicyY",1,0,0,1,0,0,0
310,1540921007199834113,2022-06-26 04:52:51+00:00,https://twitter.com/CatatanAli07/status/1540921007199834113,30,3,6,,,,,,,,,"Yang nama nya MUHAMMAD MUHAMAD itu belum berarti nabi tapi Nama Muhammad Atau Muhammad itu terinspirasi dari Nama BAGINDA NABI BESAR MUHAMMAD 

Jadi Rasanya Tidak pantas tidak Elok Nama MUHAMMAD dijadikan objek satir objel olok olokan dll

INGIN BERBEDA BOLEH BODOH JANGAN",1,0,0,1,0,0,0
368,1539522990320144385,2022-06-22 08:17:38+00:00,https://twitter.com/CatatanAli07/status/1539522990320144385,1,1,0,,1315936691467632640,soekaca55,,186,567,13806,4238,@soekaca55 @nyonyahsyuper Wong pekok😂,0,0,1,1,0,0,0
376,1539287369873969153,2022-06-21 16:41:22+00:00,https://twitter.com/CatatanAli07/status/1539287369873969153,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @geloraco Alternatif bodoh,0,0,1,1,0,0,0
466,1537359682334994432,2022-06-16 09:01:25+00:00,https://twitter.com/CatatanAli07/status/1537359682334994432,0,1,0,,1031514793000099846,BarBaro5_,"Cina, Indonesia",4956,1270,51461,34141,@BarBaro5_ @ajengcute16__ @AgusYudhoyono Taik lo beda lagi muncung ko🤣🤣,0,0,1,1,0,0,0
506,1536632764421656576,2022-06-14 08:52:54+00:00,https://twitter.com/CatatanAli07/status/1536632764421656576,1,0,0,,2383444603,AlifAlhusein,,22,165,101,1347,@AlifAlhusein @Boruhutapea_18 @akunkelima212 Berisik kali ko bodat Bopak bapak aja ko dari tadi gak ada narasi lain kutempeleng juga ko nanti,0,0,1,1,0,0,0
600,1535285116431310848,2022-06-10 15:37:50+00:00,https://twitter.com/CatatanAli07/status/1535285116431310848,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @yo2thok Aku bertanya itu apa bodoh,0,0,1,1,0,0,0
605,1535261055688929280,2022-06-10 14:02:14+00:00,https://twitter.com/CatatanAli07/status/1535261055688929280,3,1,0,,990407127880495104,HakimPanglima,"Semarang Tengah, Indonesia",3037,5004,12186,2667,@HakimPanglima @friscadilla_17 GOBLOK lu njing,0,0,1,1,0,0,0
666,1532381717218344960,2022-06-02 15:20:46+00:00,https://twitter.com/CatatanAli07/status/1532381717218344960,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @OposisiCerdas Tidorlah bodoh,0,0,1,1,0,0,0
676,1531642243265593349,2022-05-31 14:22:21+00:00,https://twitter.com/CatatanAli07/status/1531642243265593349,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @democrazymedia BODOH,0,0,1,1,0,0,0
678,1531592623202312193,2022-05-31 11:05:11+00:00,https://twitter.com/CatatanAli07/status/1531592623202312193,0,0,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @yo2thok Taik ko ben kutempeleng sekalia  ko  nanti,0,0,1,1,0,0,0
679,1531591165140578305,2022-05-31 10:59:24+00:00,https://twitter.com/CatatanAli07/status/1531591165140578305,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @yo2thok Bodoh ko kutempeleng nanti bapak itu,0,0,1,1,0,0,0
684,1531462609643327488,2022-05-31 02:28:33+00:00,https://twitter.com/CatatanAli07/status/1531462609643327488,7,1,3,,,,,,,,,"SOMBONG AMAT 😂🤦‍♀️

Bukan kader Partai tapi mau diusung kalau capres 

Ini ada Wacana lagi dari relawan gak mau pakai partai atau nyapres lewat partai

Yassalam Relawan relawan Anies kok 11 12 kek TEMAN AHOK dan PROJO kualitasnya 🙄🤦‍♀️ https://t.co/n4sYj2583d",1,0,0,1,0,0,0
734,1529818162849804288,2022-05-26 13:34:07+00:00,https://twitter.com/CatatanAli07/status/1529818162849804288,3,0,1,,,,,,,,,"Bah ini BAKSO BERANAK masih aja ngoceh dari tadi sudahlah fokus saja ke masalah ko sama RUHUT

Jangan ko bawa bawa yang tidak ada RELEVANSI nya dengan masalah ko sama ruhut 

Kalau perlu ko BETUMBUK sama Ruhut kami dukung https://t.co/1WV6vzLa2n",1,0,0,1,0,0,0
741,1529791052860706816,2022-05-26 11:46:23+00:00,https://twitter.com/CatatanAli07/status/1529791052860706816,11,3,3,,,,,,,,,"Ko fokus saja sama RUHUT jangan melebar kemana mana kek badan ko ....

Dan coba ko jelaskan juga maksud ko RT soal LGBT maksudnya apa ? 

Ko sudah setua ini masak FUNGSI SILIT Gak paham!! https://t.co/T3TcEeG6hi",1,0,1,0,0,0,0
742,1529771331088449536,2022-05-26 10:28:01+00:00,https://twitter.com/CatatanAli07/status/1529771331088449536,32,0,0,,1271455071612502016,Boruhutapea_18,❤️Ndry,3401,2546,7333,3543,@Boruhutapea_18 @MegaPKeliduan @ruhutsitompul Sibodat udah mulai masuk angin sudah gak jelas muncungnya arahnya kemana,1,0,1,0,0,0,0
753,1529447307472957440,2022-05-25 13:00:28+00:00,https://twitter.com/CatatanAli07/status/1529447307472957440,0,0,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @ketololan_tolol Bodoh ko🙄,0,0,1,1,0,0,0
754,1529446231847870465,2022-05-25 12:56:12+00:00,https://twitter.com/CatatanAli07/status/1529446231847870465,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @ketololan_tolol Bodoh ko🙄,0,0,1,1,0,0,0
755,1529445663255465984,2022-05-25 12:53:56+00:00,https://twitter.com/CatatanAli07/status/1529445663255465984,0,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @ketololan_tolol Itu ko ben ?,0,0,1,1,0,0,0
759,1529289794546987008,2022-05-25 02:34:34+00:00,https://twitter.com/CatatanAli07/status/1529289794546987008,1,1,0,,1271455071612502016,Boruhutapea_18,❤️Ndry,3401,2546,7333,3543,@Boruhutapea_18 @psi_id @Giring_Ganesha @Dennysiregar7 Manusia manusia bodoh,0,0,1,1,0,0,0
769,1527271837255602177,2022-05-19 12:55:55+00:00,https://twitter.com/CatatanAli07/status/1527271837255602177,0,0,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @Syaiful14742 @democrazymedia Bodoh,0,0,1,1,0,0,0
772,1527171085695094784,2022-05-19 06:15:34+00:00,https://twitter.com/CatatanAli07/status/1527171085695094784,1,1,0,,1244525884775653380,TheEagle_BEN,,7317,104,44834,26649,@TheEagle_BEN @democrazymedia @Syaiful14742 Air raksa bodoh,0,0,1,1,0,0,0
850,1524573140076011520,2022-05-12 02:12:16+00:00,https://twitter.com/CatatanAli07/status/1524573140076011520,1,0,0,,,,,,,,,@ruhutsitompul TOLOL https://t.co/eqj85fPYAF,0,0,1,1,0,0,0
868,1524568620281769991,2022-05-12 01:54:18+00:00,https://twitter.com/CatatanAli07/status/1524568620281769991,1,2,0,,,,,,,,,Anjeng😂 lu dibatasi gua dikunci bangsat emang si @elonmusk 🤦‍♀️😂 https://t.co/1JGxYv4j3A,0,0,1,1,0,0,0
877,1524566184536190976,2022-05-12 01:44:38+00:00,https://twitter.com/CatatanAli07/status/1524566184536190976,3,1,0,,1031514793000099846,BarBaro5_,"Cina, Indonesia",4956,1270,51461,34141,@BarBaro5_ @PanciB0zz Gara gara ngatain gay anjeng😂,0,0,1,1,0,0,0
882,1524565602823999488,2022-05-12 01:42:19+00:00,https://twitter.com/CatatanAli07/status/1524565602823999488,0,1,0,,1377585305977454595,PanciB0zz,,31851,17293,119033,85902,@PanciB0zz @BarBaro5_ Ini di ras ya kalau kek gini 😂 https://t.co/GII9wLomn2,1,0,0,1,0,0,0
917,1524554221848195072,2022-05-12 00:57:05+00:00,https://twitter.com/CatatanAli07/status/1524554221848195072,2,2,2,,,,,,,,,BAKAR HIDUP HIDUP!!! https://t.co/I8Xrninfv2,1,0,0,1,0,0,0
927,1523274527945691136,2022-05-08 12:12:03+00:00,https://twitter.com/CatatanAli07/status/1523274527945691136,16,2,4,,1219055858,RadarKorupsi,"Dago, Bandung",21809,17657,133866,132910,"@RadarKorupsi @jokowi @kangdede78 MASIH SUKA NGEWE sama banci de ?

Komisaris dapat hadiah ciki aja lagu nya udah kek apaan tau

Ingat lo komisaris itu karna hasil ngebuzzer bukan karna otak lo pintar orang pintar mana mau NGEWE SAMA BANCI DE

@jokowi sampah kayak dede bisa bisa nya diangkat komisaris",0,0,1,1,0,0,0
