&;dan
anjingnyaa;anjingnya
anjir;anjing
anjir;waw
anjirr;anjir
anjirrr;anjir
anjirrrr;anjir
anjjjjjjjj;anjing
anjrit;anjing
ank";anak-anak
ank2;anak-anak
ank2nya;anak-anaknya
ank;anak
ankknyaaa;anaknya
anknya;anaknya
ankx;anaknya
annnnjjjjjjrrrr;anjir
anter;antar
anterin;antar
anterin;antarkan
anugrah;anugerah
anyeng;anjing
anyway;ngomong-ngomong
ap2;apa-apa
ap;apa
apa";apa-apa
apa2;apa-apa
apa2nya;apa-apanya
apaa;apa
apaaa;apa
apaaan;apaan
apaalahh;apalah
apaan;apa
apah;apa
apain;apai
apal;hapal
apalagiii;apalagi
apalai;apalagi
apalg;apalagi
apalgi;apalagi
apasih;apa sih
apasihhh;apasih
ape;apa
apes;sial
apikkkk;apik
aplikasiin;mengaplikasikan
aplks;aplikasi
aplot;unggah
apo;apa
appa;apa
applikasi;aplikasi
aps;apa
apun;apapun
apus;hapus
apva;apa
aq;aku
aq;saya
aqu;aku
aquwh;aku
arab2;arab-arab
arghhh;ah
artis";artis-artis
artis2;artis-artis
artisnyaa;artisnya
artist";artis-artis
artix;artinya
asap;secepatnya
asap;sesegera mungkin
asbun;asal bunyi
aseek;asyik
aseekk;asyik
asek;asyik
asekk;asyik
aseknya;asyiknya
asem;asam
asikkk;asik
asliii;asli
asliiii;asli
asliiiii;asli
aslinyo;aslinya
asoy;asyik
aspal;asli tetapi palsu
astafirullah;astagfirullah
astagaa;astaga
astagaaa;astaga
astagaaaa;astaga
astagaaaaaa;astaga
astagaaaaaaaa;astaga
astagfirrullah;astagfirullah
astagfirullh;astagfirullah
astauviruloh;astagfirullah
astgfrlh;astagfirullah
astgfrullah;astagfirullah
astrojim;astagfirullahaladzim
astul;asal tulis
asuuu;asu
asyikkkkk;asyik
atassan;atasan
atassss;atas
ath;kalau begitu
ati";hati-hati
ati2;hati-hati
ato;atau
ats;atas
atu;satu
atuh;kalau begitu
atuhh;atuh
atuhhh;atuh
atutt;takut
atuu;satu
atw;atau
au ah;tidak mau tahu
aurot;aurat
autuhh;tau tuh
ava;avatar
ava;foto profil
awaas;awas
awak;saya
awal2;awal-awal
awk;awak
awl;awal
awoohhh;allah
aws;awas
ay;sayang
ayahh;ayah
ayang;sayang
ayank;sayang
ayok;ayo
ayoklaa;ayolah
ayoo;ayo
ayooo;ayo
ayoook;ayo
ayoookkkkkk;ayo
ayoooo;ayo
ayooook;ayo
ayuk;ayo
ayukk;yuk
aza;saja
azaab;azab
azeeeek;asik
azekkkk;asik
b2;berdua
b2an;berduaan
b3;bertiga
b4;sebelum
baaaaaang;bang
baaiikkk;baik
baang;bang
baanget;banget
baanggeettt;banget
babget;banget
baca2;baca-baca
bacaaaa;baca
bacahalah;bacalah
bacot;banyak bicara
bacotin;bacoti
badaaiii;badai
badaii;badai
badingkan;membandingkan
bae2;baik-baik
baek2;baik-baik
baek;baik
bagaatt;banget
bagaimanaaa;bagaimana
bagaimna;bagaimana
baget;banget
baget;keras kepala
bagi2;bagi-bagi
bagiii;bagi
bagiin;bagikan
bagiin;membagikan
bagus2;bagus-bagus
bagusnyeee;bagusnya
baguss;bagus
bagusss;bagus
bagussss;bagus
baguusss;bagus
baguuus;bagus
baguuuuus;bagus
bahas2;bahas-bahas
baik2;baik-baik
baik2nya;baik-baiknya
baikk;baik
baikxa;baiknya
bajir;banjir
baju'a;bajunya
baju.a;bajunya
baju2;baju-baju
bakalan;akan
bakar2in;bakar-bakari
bakattt;bakat
bales2in;balas-membalas
bales;balas
balesin;membalas
bandes;bantuan desa
bandingin;bandingkan
bangat;banget
bangcat;bangsat
bangdes;pembangunan desa
banged;banget
bangedd;banget
bangedh;banget
bangedt;banget
bangeeeeetttt;banget
bangeeeet;banget
bangeeet;banget
bangeeettt;banget
bangeer;banget
bangeet;banget
bangeett;banget
bangeettt;banget
banger;banget
bangets;banget
bangett;banget
bangettt;banget
bangetttt;banget
bangettttt;banget
bangetttttt;banget
bangettttttt;banget
bangetttttttt;banget
bangetttttyt;banget
bangg;bang
bangga"in;membangga-banggakan
bangga2in;membangga-banggakan
banggain;banggakan
bangget;banget
banggett;banget
bangke;bangkai
bangkotan;tua
bangkret;bangkrut
bangrt;banget
bangshad;bangsat
bangt";banget-banget
bangt;banget
banhet;banget
banpol;bantuan polisi
banpres;bantuan presiden
banpur;bantuan tempur
bansarkas;bantuan sarana kesehatan
bante;bantai
bantuanny;bantuannya
bantuim;bantu
banx;bang
banyaaaaaak;banyak
banyaaaak;banyak
banyaak;banyak
banyak2;banyak-banyak
banyakin;membanyaki
bape;bawa perasaan
bapeeeer;bawa perasaan
bapeerr;bawa perasaan
baper;bawa perasaan
baperr;bawa perasaan
bapuk;rusak
baraang;barang
barang2;barang-barang
barengg;bareng
baru2;baru-baru
baruu;baru
basbang;basi
basodaraa;bersaudara
bat;banget
batesin;batasi
batikk;batik
battt;banget
batwc;banget
bawa";bawa-bawa
bawa2;bawa-bawa
bawak;bawa
bayangin;bayangkan
bazengg;bajingan
bazis;badan amal, zakat, infak, dan sedekah
bbrp;beberapa
bbrpa;beberapa
bc;baca
bca;baca
bcanda;bercanda
bcnda;bercanda
bcoz;karena
bcr;bicara
bdampingan;berdampingan
bdan;badan
bdg;bandung
bdn;badan
beb;sayang
bebal;bodoh
bebeb;pacar
bebrp;beberapa
beda2;beda-beda
bedaa;beda
bedaaa;beda
bedain;membedakan
bedainnya;membedakannya
bedakin;bedak
bedanyaaa;bedanya
bedua;berdua
begajulan;nakal
begete;banget
begin;awal
beginii;begini
beginiiii;begini
begok;bego
bejibun;banyak
bejibun;bertumpuk banyak
bejilbbnya;berjilbabnya
bela"in;membela-bela
bela2in;membela-bela
belain;membela
belanjaa;belanja
beliiin;belikan
beliin;belikan
beliin;membelikan
bellain;membela
belom;belum
belooomm;belum
beluumm;belum
benahin;membenahi
benar";benar-benar
benar2;benar-benar
benarin;membenarkan
benarjujur;benar
benarjujur;jujur
bencong;banci
benda2;benda-benda
bener";benar-benar
bener2;benar-benar
bener;benar
beneraan;benaran
beneran;benaran
benerr;benar
benet;benar
benetaran;benaran
bengkak2;bengkak-bengkak
benneeeeeerr;benar
bentar;sebentar
bentarr;bentar
ber'expresi;berekspresi
ber2;berdua
ber3;bertiga
berangat;berangkat
berani2;berani-berani
berarto;berarti
berati;berarti
beratttttttt;berat
berbakiti;berbakti
berbeda2;berbeda-beda
berbiiiiiihhh;barbie
berdikari;berdiri di atas kaki sendiri
berenanh;berenang
beresin;membereskan
berfikir;berpikir
bergunaa;berguna
berhijap;berhijab
berjinah;berzina
berkluarga;berkeluarga
bermaksut;bermaksud
berntung;beruntung
bertatto;bertato
bertolernsi;bertoleransi
beruntungnyaaaa;beruntungnya
besar";besar-besar
besar2an;besar-besaran
besar2in;besar-besarkan
besarin;membesarkan
besokkk;besok
besook;besok
bet;banget
bete;bosan
beti;beda tipis
bets;banget
better;lebih baik
bettt;banget
betul2;betul-betul
betuuuuulllllllllllllllll;betul
beud;banget
beudd;banget
beut;banget
bf;pacar
bg;abang
bg;bang
bgd;banget
bgect;banget
bget;banget
bgettt;banget
bgi;bagi
bgini;begini
bgitu;begitu
bgmana;bagaimana
bgmn;bagaimana
bgmna;bagaimana
bgni;begini
bgs;bagus
bgt;banget
bgtt;banget
bgttt;banget
bgtttt;banget
bgttttttt;banget
bgtttttttt;banget
bgtu;begitu
bgtuu;begitu
bgun;bangun
bgus;bagus
bgussss;bagus
bhagaia;bahagia
bhagia;bahagia
bhas;bahas
bhet;banget
bhg;bahagia
bhgia;bahagia
bhgiain;membahagiakan
bhijab;berhijab
bhkn;bahkan
bhn;bahan
bhnya;bahannya
bhs;bahasa
bhubu;tidur
bhw;bahwa
bhwa;bahwa
biarin;biarkan
biasa2;biasa-biasa
biasaa;biasa
biasaaa;biasa
biasaaaa;biasa
biasahhh;biasa
bijak2;bijak-bijak
bijimane;bagaimana
bijin;bikin
bikin;buat
bikinin;bikin
bikinin;membikin
bikinnn;bikin
bilang";bilang-bilang
bilang2;bilang-bilang
bilangg;bilang
bilangin;bilang
bilanh;bilang
bilng;bilang
bimbuluh;bimbingan dan penyuluhan
binggo;banget
bingiiittttzzzz;banget
bingiiittzz;banget
bingiit;banget
bingiittt;banget
bingit;banget
bingits;banget
bingitss;banget
bingitsss;banget
bingitt;banget
bingittzz;banget
bingitzzzz;banget
bintal;bimbingan mental
bird;biru
biri;biru
bisaa;bisa
bisaaa;bisa
bisax;bisanya
bisi;kalau-kalau
biza;bisa
bju;baju
bka;buka
bkal;bakal
bkan;bukan
bkin;bikin
bkl;akan
bklan;bakalan
bkln;bakalan
bkn;bikin
bkn;bukan
bknnya;bukannya
bl;beli
blajar;belajar
blakon;berlakon
blegug;bodoh
bleh;boleh
blg;bilang
blh;boleh
bli2n;beli-belikan
bli;beli
blik;balik
blim;belum
bljr;belajar
blkang;belakang
blkng;belakang
blln;bulan
blm;belum
bln;bulan
blng;bilang
blnja;belanja
bloghhh;goblok
blom;belum
bls;balas
blum;belum
bnchi;benci
bnci;benci
bnda;bunda
bner";benar-benar
bner2;benar-benar
bner;benar
bneraan;benaran
bneran;benaran
bnern;benaran
bnerr;benar
bng;bang
bngatt;banget
bngeeeetttt;banget
bngeet;banget
bnget;banget
bngett;banget
bngettt;banget
bngetttt;banget
bnggain;banggakan
bngkit;bangkit
bngt;banget
bngtt;banget
bngttt;banget
bngtttt;banget
bngtzt;banget
bngun;bangun
bngung;bingung
bngunlah;bangunlah
bngy;banget
bnk;bang
bnr2;benar-benar
bnr;benar
bnran;benaran
bnran;yang benar
bnrn;benaran
bntar;bentar
bntr;bentar
bntu;bantu
bnyak;banyak
bnyk;banyak
bo'ong;bohong
bodhoo;bodoh
bodhooo;bodoh
bodor;lucu
bohay;badan aduhai
bokap;ayah
bokep;porno
bokep;video porno
boker;berak
boker;buang air besar
bokin;pacar
bokis;bohong
bol3h;boleh
bolang;bocah petualang
bole;boleh
boleh2;boleh-boleh
boljug;boleh juga
bolot;bodoh
bonek;bocah nekat
bonyok;ayah ibu
boong;bohong
boro2;boro-boro
bosaan;bosan
bosen2;bosan-bosan
bosen;bosan
bosenin;membosankan
boss;bos
botakin;botaki
botakkkk;botak
boyeh;boleh
bpk;bapak
bpkmu;bapakmu
bpknya;bapaknya
br;baru
bradegan;beradegan
brangnya;barangnya
brani;berani
branjak;beranjak
brantem;berantem
brapa;berapa
brarti;berarti
brasa;berasa
brayyy;bray
brb;akan segera kembali
brb;segera kembali
brbakti;berbakti
brbuat;berbuat
brdiri;berdiri
brdua;berdua
brengsekk;brengsek
bres;beres
brg";bareng-bareng
brg;bareng
brhasil;berhasil
brhjb;berhijab
brisi;berisi
brita;berita
britanya;beritanya
brjaya;berjaya
brjdh;berjodoh
brjodoh;berjodoh
brkunjun;berkunjung
brngkt;berangkat
bro;saudara laki-laki
bronis;brondong manis
brp;berapa
brpa;berapa
brpndapat;berpendapat
brrt;berarti
brrti;berarti
brsama;bersama
brsma;bersama
brsyukur;bersyukur
brtngkar;bertengkar
bru;baru
brubah;berubah
brur;saudara laki-laki
brusaha;berusaha
bs;bisa
bsa;bisa
bsen;bosan
bsk;besok
bsok;besok
bt;bosan sekali
bt;buat
btuh;butuh
btul;betul
btulan;betulan
btw;ngomong-ngomong
bu_bu;tidur
buangbuang;buang
buanget;banget
buanyaaak;banyak
buatin;buatkan
buatin;membuat
buaya;tidak setia
bubarin;bubarkan
bubbu;tidur
buber;buka bersama
bubu;tidur
bujngn;bujangan
bujubune;luar biasa
bujukk;bujuk
buka2;buka-buka
buka2an;buka-bukaan
bukak;buka
bukan'a;bukannya
bukn;bukan
bukti2;bukti-bukti
buktiin;buktikan
buktiin;membuktikan
buktinyaaa;buktinya
bulet;bulat
bumil;ibu hamil
bund;bunda
bundaa;bunda
bundaaa;bunda
bundaaaa;bunda
bunga2;bunga-bunga
bungggg;bung
bungkusin;bungkuskan
bungkuuussss;bungkus
bungkuuuuuuuuusss;bungkus
burem;buram
buruann;buruan
buruannn;buruan
busedh;buset
buseett;buset
buser;buru sergap
buuun;bun
buzzerbuzzer;buzzer
bw;bawa
bwa";bawa-bawa
bwhn;bawahan
bwt;buat
byak;banyak
byangin;membayangkan
byar;bayar
byaran;bayaran
byk;banyak
byr;bayar
byrin;bayarkan
bz;bisa
c8;chat
c;sih
caaannnttiikkk;cantik
caantiiik;cantik
cabal;sabar
cabe2;cabe-cabe
cabe2an;cabe-cabean
cabol;cabul
cabut;pergi
cadas;keren
cadasss;cadas
caem;cakep
cakeeeeppp;cakep
cakeep;cakep
cakepp;cakep
cali;caci
calo;makelar
cama-cama;sama-sama
campurin;mencampuri
can;belum
canci;cantik
cangcut;celana dalam
cannnnntikkkkkkk;cantik
cannntikk;cantik
cans;cantik
canteek;cantik
canti;cantik
cantiiiiiiik;cantik
cantiiiik;cantik
cantiiiikk;cantik
cantiiik;cantik
cantiiikk;cantik
cantiiikkk;cantik
cantiiillx;cantik
cantiik2;cantik-cantik
cantiik;cantik
cantiikk;cantik
cantiikkkk;cantik
cantik2;cantik-cantik
cantik2nya;cantik-cantiknya
cantika;cantik
cantikk;cantik
cantikkk;cantik
cantikkkk;cantik
cantikkkkk;cantik
cantikkkkkk;cantik
cantikkkkkkkk;cantik
cantikkkm;cantik
cantiknnnnyaaaaaaa;cantiknya
cantiknyaa;cantiknya
cantiknyaaa;cantiknya
cantiknyaaaaa;cantiknya
cantiks;cantik
cantikx;cantiknya
cantinya;cantiknya
cantip;cantik
cantiq;cantik
cantiqs;cantik
cantix;cantik
cantk;cantik
canttikkk;cantik
canttttikkk;cantik
canyk;cantik
capa;sapa
capcus;pergi
cape;capek
capee;cape
capek;lelah
caper;cari perhatian
caranga;caranya
cari2;cari-cari
cariin;carikan
catiiiiik;cantik
catokin;catok
caur;jelek
caya;percaya
cayalah;percaya
cb;coba
cba;coba
ccok;cocok
cd;celana dalam
ce;cewek
ceemen;cemen
cek2;cek-cek
cekak;tidak ada uang
cekal;cegah tangkal
cekidot;coba lihat
ceklist;ceklis
cem;macam
cemburuu;cemburu
cemen;penakut
cemplungin;cemplungkan
cempreeng;cempreng
cengengesan;tertawa
centillll;centil
centilnyaaaaaa;centilnya
ceper;pendek
cepet2;cepat-cepat
cepet;cepat
cepetan;cepatan
cerdass;cerdas
cerdiik;cerdik
ceritax;ceritanya
ceu;kakak perempuan
cew;cewek
cewe;cewek
cewer;jewer
chelalyyu;selalu
choker2;choker-choker
chuyunk;sayang
ciapa;siapa
cibuk;sibuk
ciee;cie
cieee;cie
cieeee;cie
cieeeee;cie
ciieeeeeee;cie
ciiieee;cie
cimeng;ganja
cin;cinta
cinggirnyaaaa;cinggirnya
cini;sini
cino;cina
cintaaaaaaa;cinta
cintax;cintanya
cipika cipiki;cium pipi kanan cium pipi kiri
ciptain;ciptakan
ciptain;menciptakan
cita2;cita-cita
ciumman;ciuman
ciusss;serius
ciuuuummmm;cium
ciye;cie
ciyeeee;cie
ciyeeeeeee;cie
ciyh;sih
ciyusss;serius
ckck;ck
ckepp;cakep
ckp;cakep
ckp;cukup
ckrng;sekarang
ckup;cukup
clbk;cinta lama bersemi kembali
cm;cuma
cma;cuma
cman;cuman
cmiiw;correct me if i'm wrong
cmiiw;koreksi saya
cmkn;camkan
cmn;cuman
cmpr;campur
cmpur;campur
cnenk;senang
cnt;cinta
cntiiikkk;cantik
cntik;cantik
cntikan;cantikan
cntikk;cantik
cntiknya;cantiknya
cntk;cantik
co;cowok
cobaa;coba
cobaaa;coba
cobaaaa;coba
cobain;coba
cobain;mencoba
cobak;coba
coccokk;cocok
cock;cocok
cocokk;cocok
cocokkk;cocok
cocokkkk;cocok
cocokkkkk;cocok
cocokny;cocoknya
cocokx;cocoknya
cocook;cocok
cocookk;cocok
coeggg;coeg
cogan;cowok ganteng
comen2nya;komen-komennya
comen;komen
coment;komen
coment;komentar
comment2nya;komentar-komentarnya
comnet;komen
comntr;komentar
cong;banci
congor;mulut
congrats;selamat
conlok;cinta lokasi
cooocok;cocok
cooooooocok;cocok
coret";coret-coret
covik;covid
covit;covid
cow;cowok
cowo;cowok
cowwyy;maaf
coxok;cocok
coyyy;coy
coz;karena
cp;siapa
cpa;siapa
cpe;capek
cpet;cepat
cpit;sipit
cppa;siapa
cppe;capek
cpt;cepat
cpvid;covid
cr;cara
cri;cari
critamu;ceritamu
crop;potong
cuaaantikk;cantik
cuaantik;cantik
cuantek;cantik
cuanti;cantik
cuantik;cantik
cuantikkk;cantik
cubanget;lucu banget
cuchook;cocok
cuco;cocok
cucok;cocok
cucokkk;cocok
cuek;tidak acuh
cuex;cuek
cukurrr;cukur
cuman;Cuma
cumi;Cuma miscall
cumn;cuman
cums;cuma
cungkring;kurus tinggi
cups;culun
cupu;culun
curanmor;pencurian kendaraan bermotor
curas;pencurian dengan kekerasan
curcol;curahan hati colongan
curhat2;curhat-curhat
curhat;curahan hati
cuyy;cuy
cuyyy;cuy
cvd-19;covid-19
cvd;covid
cvid;covid
cw;cewek
cwe;cewek
cwek;cewek
cwnya;ceweknya
cwo;cowok
cwok;cowok
cya;sampai jumpa lagi
cyiiin;cinta
cyin;cinta
cz;karena
d.apa;diapa
d.bikinin;dibikin
d;ada
d;di
da;ada
da;dah
da;sudah
daaaah;deh
daaah;dah
daah;dah
daah;deh
dafuk;kurang ajar
dagh;sudah
dah;deh
dah;sudah
dahh;dah
dahh;deh
dahhhh;dah
dak;indak
dalem2;dalam-dalam
dalil2;dalil-dalil
dallam;dalam
damang;sehat
damat;tidak peduli
dapet;dapat
dapetin;mendapati
dapetin;mendapatkan
darpada;daripada
dasaar;dasar
dasarrr;dasar
dasyat;dahsyat
dateng;datang
dblkang;dibelakang
dblkng;dibelakang
dbnding;dibanding
dbuat;dibuat
dbulan;di bulan
dbwh;dibawah
dcintai;dicintai
ddlm;di dalam
ddpat;didapat
ddpt;didapat
de;adik
de;deh
de;dek
debay;adek bayi
dech;deh
dede;adek
dedek;adek
dedeknya;adeknya
dee;dek
deeek;dek
deeh;deh
deg2an;deg-degan
dehat;sehat
dehh;deh
dehhh;deh
dehhhh;deh
dek;adik
deket;dekat
deketin;dekati
dekk;dek
dekkk;dek
dekt;dekat
demen;suka
dempa;demi apa
dempga;semoga
dengarin;mendengarkan
dengeeriin;dengarkan
denger;dengar
dengerin;dengarkan
dengerin;mendengarkan
deuhh;duh
dewassa;dewasa
deyh;deh
dg;dengan
dgn;dengan
dgr;dengar
dh;dah
dh;deh
dhe;deh
dhi;di
dhpusin;dihapuskan
diaa;dia
diaaa;dia
diajarin;diajari
diakibtkn;diakibatkan
diam";diam-diam
diamkn;diamkan
diancurin;dihancurkan
dianter;diantar
dianterin;diantar
dianterin;diantarkan
diapa2in;diapa-apai
diapain;diapakan
dibangga'in;dibangga-banggakan
dibanggain;dibanggakan
dibiarin;dibiarkan
dibikin2;dibikin-bikin
dibkatakan;dikatakan
dibls;dibalas
dibnggain;dibanggakan
didapet;didapat
didatengin;didatangi
didengerin;didengarkan
dieee;dia
diem;diam
diemin;diamkan
diemm;diam
difotoin;difoto
digabtikan;digantikan
digambarin;digambarkan
diginiin;dibeginikan
diginikan;dibeginikan
digituin;dibegitukan
digosipin;digosipkan
dihargain;dihargai
dihh;dih
dihpus;dihapus
dii;di
diihhhh;dih
diindonesis;diindonesia
diingetin;diingatkan
dijadiin;dijadikan
dijelekin;dijelekkan
dijkt;dijakarta
dijwb;dijawab
dikata2in;dikata-katai
dikatain;dikatai
dikemanain;dikemanakan
dikerasin;dikerasi
diksi;dikasih
diladenin;diladeni
dilepas2;dilepas-lepas
diliat;dilihat
diliatnya;dilihatnya
dilindungin;dilindungi
diluangin;diluangkan
diluarann;diluaran
dimaafin;dimaafkan
dimana";dimana-mana
dimana2;dimana-mana
dimao;dimau
dimarahin;dimarahi
dimasukin;dimasuki
dimintak;diminta
dimna;dimana
dimusiumin;dimuseumkan
dinamakn;dinamakan
dingin";dingin-dingin
dinyanyiin;dinyanyikan
dipake;dipakai
dipermainin;dipermainkan
dipikirin;dipikirkan
dipojokin;dipojokkan
dipuja2;dipuja-puja
diputusin;diputuskan
dirimuuu;dirimu
dirmh;dirumah
dirumahny;dirumahnya
disiniii;disini
disni;disini
disono;di sana
disupirin;disopiri
ditayangin;ditayangkan
ditengah2;ditengah-tengah
ditutupin;ditutupi
dituutup;ditutup
diuber;dikejar
diurusin;diurusi
dket2in;dekat-dekati
dket;dekat
dkit;sedikit
dkk;dan kawan-kawan
dkt;dekat
dkuburnya;dikuburnya
dl;dulu
dlam;dalam
dll;dan lain-lain
dlm;dalam
dlu;dulu
dluar;diluar
dmana;dimana
dmn;dimana
dmna;dimana
dn;dan
dng;dengan
dngan;dengan
dngerin;mendengarkan
dngn;dengan
dnk;dong
do;di
doa2;doa-doa
doaang;doang
doang;saja
doangam;doang
doank;doang
dodol;bodoh
doeloe;dulu
doi;dia
doku;uang
don juan;playboy
dongg;dong
donggg;dong
dongggg;dong
dongs;dong
donk;dong
donkk;dong
donks;dong
donlot;unduh
donx;dong
doong;dong
doonk;dong
dooong;dong
dosa2mu;dosa-dosamu
dosaa;dosa
dosaaaaaaaaaa;dosa
dosax;dosanya
dpke;dipakai
dpn;depan
dposisi;diposisi
dpotong;dipotong
dpt;dapat
dptkan;dapatkan
dptnya;dapatnya
dr;dari
dramaa;drama
dri;dari
drii;dari
drimana;darimana
drimnanya;darimananya
dripada;daripada
dripda;daripada
drmana;darimana
drmn;darimana
drpada;daripada
drpd;daripada
drtd;dari tadi
dsana;disana
dsar;dasar
dsb;dan sebagainya
dsini;disini
dsna;disana
dsni;disini
dsr;dasar
dsrny;dasarnya
dssi;disisi
dst;dan seterusnya
dstu;disitu
dteng;datang
dtg;datang
dtggu;ditunggu
dtgkan;datangkan
dtinggl;ditinggal
dtnggu;ditunggu
dtunggu;ditunggu
dua2nya;dua-duanya
duanyaa;duanya
duetin;duet
dugem;dunia gemerlap
duh;aduh
duhh;duh
duhhh;duh
duhhhhh;duh
duit;uang
dulurrr;dulur
duluu;dulu
duluuu;dulu
dumsss;dong
dung;dong
dungu;bodoh
dunk;dong
dureen;duren
duren;durian
durhaka2;durhaka-durhaka
duuhh;duh
duuhhh;duh
duuhhhhh;duh
duuuhh;duh
duuuhhh;duh
dwh;deh
dwsa;dewasa
dy;dia
dya;dia
dzolim;zalim
ea;ya
eakyu;waktu
ed;edisi
edaaaan;edan
edaaan;edan
edaaann;edan
edan;gila
edannn;edan
editannn;editan
edun;gila
eeeeh;eh
eeeehhhh;eh
eehhh;eh
eey;eh
ego;emosi
egp;emang gue pikirin
ehh;eh
ehhh;eh
eike;aku
eke;aku
eksprsi;ekspresi
elaaaahhhh;alah
elahh;alah
elo2;lo-lo
elo;kamu
elo;lo
eloo;lo
elu;kamu
elu;lu
elus2;elus-elus
ema;emak
emak2;emak-emak
emakx;emaknya
emang;memang
emangnya;memangnya
emank;memang
emeessss;gemas
emeezzz;gemas
emeshh;gemas
emesshhh;gemas
emessss;gemas
emg;memang
emk;emak
emng;memang
emngnya;memangnya
emnknya;memangnya
emte;makan teman
enakkkkk;enak
endak;tidak
engak;tidak
engga";enggak-enggak
engga;enggak
engga;tidak
enggak;tidak
engk;enggak
enk;enak
entahhh;entah
entar;nanti
entr;entar
envy;iri
epe;apa
epsd;episode
etc;et cetera
euyyyyy;euy
ex;mantan
expresi;ekspresi
ext;extension
eyke;aku
